Geneid,X155L6_featureCounts,X195R2_featureCounts,X241L1_featureCounts,X242R4_featureCounts
ENSMUSG00000085280.2,10,19,19,26
ENSMUSG00000087131.8,32,43,68,43
ENSMUSG00000102984.2,19,8,14,25
ENSMUSG00000102541.2,0,0,0,0
ENSMUSG00000103531.2,0,4,0,0
ENSMUSG00000048814.12,159,173,97,122
ENSMUSG00000026080.15,52,48,108,40
ENSMUSG00000103647.2,2,0,0,0
ENSMUSG00000102447.2,0,0,0,2
ENSMUSG00000067604.9,0,2,0,2
ENSMUSG00000026078.11,3957,3669,2840,2933
ENSMUSG00000103046.2,285,283,208,211
ENSMUSG00000104188.2,2,2,0,0
ENSMUSG00000103182.2,2,0,2,0
ENSMUSG00000098833.3,0,0,0,0
ENSMUSG00000026077.16,2509,2417,1621,2259
ENSMUSG00000092553.2,16,38,23,17
ENSMUSG00000092563.2,47,23,27,21
ENSMUSG00000073702.12,2998,2507,2073,2235
ENSMUSG00000003134.11,3303,3127,3015,3384
ENSMUSG00000102607.2,52,49,70,68
ENSMUSG00000065629.4,0,0,0,0
ENSMUSG00002076218.1,0,0,0,0
ENSMUSG00000003135.16,2716,2688,2420,2339
ENSMUSG00000085894.2,80,81,99,84
ENSMUSG00000077704.3,14,17,13,12
ENSMUSG00000048234.14,1581,1639,1348,1391
ENSMUSG00000064936.3,23,28,17,11
ENSMUSG00000102471.2,2,0,0,3
ENSMUSG00000050967.6,20,52,12,20
ENSMUSG00000097083.2,16,18,16,10
ENSMUSG00000057173.9,47,94,23,50
ENSMUSG00000091937.4,0,0,0,0
ENSMUSG00000101634.7,29,21,37,21
ENSMUSG00000026074.16,32542,30886,27015,29325
ENSMUSG00000102985.2,34,36,6,22
ENSMUSG00000026073.14,7346,5192,4824,3229
