X,wt2VehM0,wt3VehM0,wt4VehM0,wt2DexM0,wt3DexM0,wt4DexM0
Adrm1,737.296530458775,619.29686549706,625.972683207216,693.525336185745,699.018290766891,580.373964597455
Adsl,432.3238746781,420.309675927513,410.794573354735,465.560989569134,429.640510422577,425.813654451661
Adss,1145.32313311039,1128.94772857825,1162.7442590574,1075.60642417696,961.576380469577,1138.33668422377
Adssl1,893.972043181264,857.878444827895,847.410519891769,1291.79796416079,1270.16738200325,1115.92543925263
Adtrp,0,0,0.78246585400902,1.07025514843479,0,0
Aebp1,0,0,0.78246585400902,0,0,0
Aebp2,615.810170326363,646.708366101029,603.281173440954,478.404051350352,484.198035555603,502.321007973829
Aen,339.323971404322,300.511265880541,317.681136727662,385.291853436525,334.164841439782,276.662955160971
Aes,4696.07619684254,4536.09572957519,4354.4224775602,4308.84722759847,4427.68414907711,3980.70078780491
AF251705,3053.07790567247,3174.65786624477,3192.4606843568,2520.45087456393,2615.35136106442,2612.06924146391
AF357399,0,0,0,0,5.11476798122115,0.772801550728968
AF529169,0,0,0,0,0,0
Afap1,41.8918483215213,26.3962598408583,46.1654853865322,38.5291853436525,42.6230665101763,55.6417116524857
Afap1l1,18.4324132614694,21.3200560253086,9.38959024810824,52.4425022733048,49.4427571518045,47.1408945944671
Afap1l2,1.67567393286085,0,0,1.07025514843479,0,0
Aff1,2399.56507185674,2373.63290415103,2458.50771329634,3943.89022198221,3912.79750563418,3987.65600176148
Aff2,1.67567393286085,2.03048152621987,1.56493170801804,2.14051029686958,1.70492266040705,0
Aff3,0,3.04572228932981,0.78246585400902,1.07025514843479,0,0.772801550728968
Aff4,1667.29556319655,1743.16839025976,1697.95090319957,1632.13910136306,1694.69312444461,1806.0372240536
Afg3l1,840.350477329717,755.339127753792,749.602288140641,710.649418560701,675.149373521192,728.751862337417
Afg3l2,1193.91767716336,1109.65815407916,1074.32561755438,962.159378442877,883.149938090853,929.680265526949
Afm,0,0,0,0,0,0
Afmid,60.3242615829907,50.7620381554968,68.0745292987847,58.8640331639135,80.1313650391314,48.686497695925
Afp,41.0540113550909,36.5486674719577,54.7726097806314,46.020971382696,39.2132211893622,49.459299246654
Aftph,1301.16080886645,1238.59373099412,1181.52343955362,1237.21495159062,1121.83911054784,1299.85220832612
Aga,328.432090840727,332.998970300059,352.892100158068,367.097515913133,322.230382816933,341.578285422204
Agap1,1792.13327119468,1662.96436997407,1809.84352032286,1885.7895715421,1883.93953974979,1733.39387828508
Agap2,20.1080871943302,29.4419821301881,25.8213731822977,36.3886750467829,28.9836852269199,28.5936573769718
Agap3,1606.13346464713,1494.43440329782,1331.75688352335,1618.2257844334,1716.8571190299,1441.27489210953
Agbl1,0,0,0,0,0,0
Agbl2,0.837836966430426,0,0,0,0,0.772801550728968
Agbl3,15.0810653957477,11.1676483942093,17.2142487881984,26.7563787108698,6.81969064162821,14.6832294638504
Agbl5,251.351089929128,240.612060857055,271.51565134113,205.48898849948,250.623631079837,240.341282276709
Ager,0,1.01524076310994,3.12986341603608,2.14051029686958,8.52461330203526,10.8192217102056
Agfg1,1074.10699096381,1129.96296934136,1083.71520780249,1074.53616902853,1050.23235881074,1015.46123765786
Agfg2,459.134657603873,392.898175323545,383.40826846442,1067.04438298949,1188.33109430371,921.17944846893
Aggf1,928.323358804912,902.549038404732,902.965595526409,863.695904786876,859.281020845154,860.900927512071
Agk,207.783567674746,221.322486357966,227.697563516625,209.770009093219,175.607034021926,233.386068320148
Agl,826.94508586683,971.585410296208,880.274085760147,842.290801818181,808.133341032942,817.624040671248
Agmat,0,0,0,0,0,0
Agmo,10.8918805635955,17.2590929728689,24.2564414742796,22.4753581171306,13.6393812832564,18.5472372174952
Ago1,1229.10682975343,1223.36511954747,1291.85112496889,1109.85458892688,1080.92096669807,1102.01501133951
Ago2,2071.97081798244,1978.70424730126,1827.84023496507,2104.1216218228,2045.90719248846,1893.36379928597
Ago3,327.594253874296,345.181859457378,322.375931851716,291.109400374263,223.344868513324,278.208558262429
Ago4,478.404907831773,480.208880950999,441.310741661087,403.486190959916,439.870046385019,387.946378465942
Agpat1,1286.0797434707,1274.12715770297,1286.37386399083,1124.83816100497,1009.31421496097,1050.23730744067
Agpat2,399.648232987313,386.806730744885,362.281690406176,388.502618881829,378.492830610365,339.259880770017
Agpat3,1095.05291512457,1030.46937455658,1025.81273460582,1106.64382348157,1046.82251348993,1000.77800819401
Agpat4,383.729330625135,380.715286166226,381.060870902393,259.001745921219,223.344868513324,247.29649623327
Agpat5,384.567167591565,470.0564733199,435.833480683024,440.945121155134,431.345433082984,469.090541292484
Agpat6,1126.05288288249,1114.73435789471,1125.96836391898,1192.26423535636,1161.0523317372,1174.65835710803
Agpat9,20.9459241607606,17.2590929728689,22.6915097662616,18.1943375233915,18.7541492644776,21.6384434204111
Agps,1234.97168851845,1258.89854625632,1318.4549640052,1177.28066327827,1091.15050266051,1119.01664545555
Agr3,0,0,0,0,0,0
Agrn,359.432058598653,334.014211063169,319.24606843568,316.795523936698,293.246697590013,305.256612537942
Agrp,1.67567393286085,1.01524076310994,0.78246585400902,1.07025514843479,0,0
Agt,0,0,0,0,0,0
Agtpbp1,470.864375133899,502.544177739418,438.180878245051,470.912265311308,458.624195649497,518.549840539138
Agtr1b,0,0,0,1.07025514843479,0,0
Agtrap,884.75583655053,983.768299453527,899.053266256364,1214.73959347349,1241.18369677633,1149.9287074847
Ahctf1,742.323552257357,759.400090806231,751.949685702668,802.691361326093,733.116743975032,868.62894301936
Ahcy,196.05385014472,198.987189569547,178.402214714057,340.341137202264,271.082703004721,273.571748958055
Ahcyl1,2135.64642743116,2205.10293747478,2329.40084738485,1856.89268253436,1791.87371608781,1926.59426596732
Ahcyl2,983.62059858932,1100.52098721117,1092.32233219659,732.054521529397,768.92011984358,718.70544217794
Ahdc1,103.053946870942,95.4326317323339,85.2887780869832,102.74449424974,88.6559783411667,81.9169643772706
Ahi1,119.810686199551,135.027021493621,125.194536641443,135.922403851218,114.229818247272,107.419415551327
Ahnak,16088.145429397,14586.9792843635,13143.0789497895,16282.8618282869,15918.8628802206,15499.3079014202
Ahr,41.0540113550909,58.8839642603762,50.8602805105863,27.8266338593046,52.8526024726186,31.6848635798877
Ahrr,224.540307003354,247.718746198824,248.824141574868,111.306535437218,160.262730078263,136.785874479027
Ahsa1,4372.67112780039,4362.48955908339,4131.41970916763,3189.36034233568,2879.61437342751,2751.17352059513
Ahsa2,370.323939162248,320.81608114274,302.031819647482,354.254454131916,320.525460156526,348.533499378765
AI118078,0.837836966430426,0,0,0,0,0
AI182371,4.18918483215213,5.07620381554968,1.56493170801804,5.35127574217396,3.4098453208141,6.95521395656071
AI197445,0,1.01524076310994,0,0,0,0
AI314180,1504.75519170904,1481.2362733774,1575.10376412016,1345.31072158253,1474.7581012521,1419.63644868911
AI314278,0,0,0,0,0,0
AI317395,10.0540435971651,7.10668534176955,9.38959024810824,7.49178603904354,15.3443039436635,6.18241240583175
AI413582,571.40481110555,549.245252842475,496.865817295728,543.689615404874,496.132494178452,402.629607929792
AI427809,46.0810331536734,33.5029451826279,39.90575855446,27.8266338593046,39.2132211893622,30.1392604784298
AI429214,20.1080871943302,19.2895744990888,10.1720561021173,12.8430617812175,25.5738399061058,13.1376263623925
AI450353,0.837836966430426,8.12192610487948,1.56493170801804,3.21076544530437,3.4098453208141,3.86400775364484
AI462493,294.080775217079,340.105655641828,232.392358640679,342.481647499133,363.148526666702,272.798947407326
AI463170,0,0,0,0,1.70492266040705,0
AI464131,5.02702179858255,9.13716686798942,4.69479512405412,10.7025514843479,5.11476798122115,2.3184046521869
AI467606,604.080452796337,605.083494813521,521.904724624016,581.148545600092,608.657389765317,511.594626582577
AI504432,43.5675222543821,28.4267413670782,31.2986341603608,12.8430617812175,17.0492266040705,22.4112449711401
AI506816,0.837836966430426,8.12192610487948,5.47726097806314,2.14051029686958,1.70492266040705,3.09120620291587
AI507597,39.37833742223,34.5181859457378,39.90575855446,40.6696956405221,56.2624477934327,40.1856806379063
AI593442,0,0,0,0,0,0
AI597468,50.2702179858255,63.9601680759259,56.3375414886494,80.2691361326093,69.9018290766891,57.1873147539436
AI597479,202.756545876163,217.261523305526,197.963861064282,295.390420968002,247.213785759022,217.930037305569
AI606473,8.37836966430426,6.09144457865961,4.69479512405412,5.35127574217396,0,3.86400775364484
AI607873,4129.69840753557,4323.91041008521,4277.74082386731,6738.32641454545,7061.78965940601,7369.43558775144
AI661453,78.75667484446,64.9754088390359,75.8991878388749,109.166025140349,112.524895586865,107.419415551327
AI662270,682.837127640797,745.186720122692,772.293797906903,591.85109708444,610.362312425724,663.836532076184
AI747448,0,0,0,0,0,0
AI836003,0,0,0,0,0,0
AI837181,393.7833742223,337.059933352498,337.242783077888,542.619360256439,538.755560688628,486.092175408521
AI839979,103.053946870942,100.508835547884,89.2011073570283,100.60398395287,83.5412103599455,102.009804696224
AI846148,132.378240696007,137.057503019841,140.843853721624,165.889548007393,122.754431549308,130.603462073196
AI847159,1.67567393286085,0,0.78246585400902,0,0,0
AI848285,0,0,0,0,0,0.772801550728968
AI854517,0,0,0,0,0,0
AI854703,0,3.04572228932981,1.56493170801804,1.07025514843479,3.4098453208141,2.3184046521869
AI987944,310.837514545688,281.221691381452,355.239497720095,293.249910671133,325.640228137747,302.165406335027
Aicda,3.3513478657217,1.01524076310994,2.34739756202706,11.7728066327827,5.11476798122115,5.40961085510278
Aida,990.323294320763,1072.09424584409,1096.23466146664,867.976925380616,842.231794241083,904.950615903622
Aif1,467.513027268178,405.081064480864,502.343078273791,340.341137202264,364.853449327109,370.171942799176
Aif1l,0,0,0,0,0,0
Aifm1,314.18886241141,306.6027104592,305.944148917527,442.015376303569,393.837134554029,435.087273060409
Aifm2,387.918515457287,346.197100220488,355.239497720095,370.308281358438,369.96821730833,344.66949162512
Aifm3,0,0,0,0,0,0
Aig1,92.9999032737773,96.4478724954438,92.3309707730644,90.9716876169572,69.9018290766891,67.2337349134202
Aim1,1351.43102685228,1180.72500749685,1236.29604933425,1055.2715763567,1075.80619871685,1091.96859118003
Aim1l,1.67567393286085,0,1.56493170801804,0,3.4098453208141,0.772801550728968
Aim2,521.972430086155,523.864233764727,537.554041704197,507.300940358091,530.230947386593,607.422018872969
Aimp1,423.945505013795,381.730526929336,388.103063588474,447.366652045743,438.165123724612,407.266417234166
Aimp2,204.432219809024,174.621411254909,216.743041560499,200.137712757306,199.475951267625,173.107547363289
Aip,1049.80971893732,973.615891822428,938.959024810824,947.17580636479,941.117308544692,710.204625119922
Aipl1,6.70269573144341,5.07620381554968,8.60712439409922,5.35127574217396,0,9.27361860874762
Aire,0,0,0,2.14051029686958,1.70492266040705,7.72801550728968
Airn,57.8107506836994,63.9601680759259,57.9024731966675,28.8968890077394,37.5082985289551,35.5488713335325
Ajap1,0,0,0,0,0,0
Ajuba,6.70269573144341,19.2895744990888,13.3019195181533,10.7025514843479,11.9344586228494,18.5472372174952
AK010878,22.6215980936215,49.7467973923868,43.0356219704961,41.7399507889569,37.5082985289551,43.2768868408222
Ak1,98.0269250723598,78.173538759465,110.327685415272,78.1286258357398,100.590436964016,96.600193841121
AK129341,0,0,0.78246585400902,0,0,0
Ak2,830.296433732552,873.107056274544,740.995163746542,987.845502005312,922.363159280215,877.129760077379
Ak3,717.188443264444,770.567739200441,801.245034505236,680.682274404527,784.264423787244,807.577620511772
Ak4,41.0540113550909,24.3657783146384,29.7337024523428,34.2481647499133,27.2787625665128,17.7744356667663
Ak5,1.67567393286085,3.04572228932981,1.56493170801804,1.07025514843479,0,1.54560310145794
Ak6,199.405198010441,218.276764068636,222.220302538562,229.034601765045,173.902111361519,212.520426450466
Ak7,0,2.03048152621987,0,2.14051029686958,0,0
Ak8,89.6485554080556,118.783169283862,114.240014685317,85.6204118747833,88.6559783411667,98.9185984933079
Akap1,263.918644425584,304.572228932981,245.694278158832,313.584758491394,310.295924194083,268.934939653681
Akap10,1066.56645826593,1097.47526492184,1127.533295627,1072.39565873166,1166.16709971842,1086.55898032493
Akap11,826.1072489004,756.354368516902,763.686673512803,823.026209146354,809.838263693349,863.219332164257
Akap12,10.8918805635955,17.2590929728689,13.3019195181533,13.9133169296523,20.4590719248846,14.6832294638504
Akap13,4141.42812506559,4008.17053275802,4156.45861649591,3898.93950574794,3679.22310115842,3736.49549777456
Akap14,0,0,0,0,1.70492266040705,0.772801550728968
Akap17b,95.5134141730685,115.737446994533,121.282207371398,104.88500454661,110.819972926458,123.648248116635
Akap2,628.377724822819,643.662643811699,577.459800258657,446.296396897308,375.082985289551,407.266417234166
Akap3,53.6215658515472,72.0820941808054,85.2887780869832,56.7235228670439,61.3772157746539,43.2768868408222
Akap4,0,0,0,0,0,0
Akap5,0,0,0,2.14051029686958,0,0
Akap6,25.1351089929128,32.4877044195179,33.6460317223879,18.1943375233915,18.7541492644776,23.184046521869
Akap7,116.459338333829,138.072743782951,117.369878101353,130.571128109045,134.688890172157,156.878714797981
Akap8,795.107281142474,697.470404256525,764.469139366812,920.41942765392,893.379474053295,949.773105845902
Akap8l,363.621243430805,334.014211063169,357.586895282122,504.090174912787,475.673422253567,493.820190915811
Akap9,919.944989140608,890.366149247413,841.150793059696,961.089123294442,956.461612488356,983.003572527247
Akip1,384.567167591565,332.998970300059,293.424695253382,288.968890077394,334.164841439782,265.843733450765
Akirin1,1615.34967127786,1703.57400049847,1688.56131295146,3352.03912489777,3283.68104394398,3419.64686197568
Akirin2,474.215722999621,461.93454721502,517.992395353971,361.746240170959,383.607598591587,388.719180016671
Akna,1157.89068760685,1145.19158078801,1077.45548097042,1581.83710938662,1563.41407959327,1500.00780996493
Aknad1,0,1.01524076310994,0,0,0,0
Akp3,0,1.01524076310994,0,0,0,0
Akr1a1,17132.9281265358,16570.7597354804,16897.3501173248,16055.9677368187,15656.304790518,15093.5870872875
Akr1b10,400.486069953744,420.309675927513,444.440605077123,425.961549077047,378.492830610365,419.63124204583
Akr1b3,0,0,0,0,0,0
Akr1b7,0,0,0.78246585400902,0,0,0
Akr1b8,794.269444176044,771.582979963551,767.599002782849,636.801813318701,595.018008482061,710.977426670651
Akr1c12,138.24309946102,127.920336151852,134.584126889551,115.587556030957,134.688890172157,119.011438812261
Akr1c13,440.702244342404,467.01075103057,449.917866055186,423.821038780177,465.443886291125,459.044121133007
Akr1c18,0.837836966430426,1.01524076310994,2.34739756202706,0,1.70492266040705,0
Akr1c19,0,0,0,0,0,0
Akr1c21,0,0,0,0,0,0.772801550728968
Akr1cl,0,0,0,0,0,0
Akr1e1,417.242809282352,419.294435164403,442.093207515096,446.296396897308,443.279891705833,423.495249799475
Akr7a5,127.351218897425,113.706965468313,132.236729327524,195.856692163567,187.541492644776,157.651516348709
Akt1,3466.9693670891,3219.3284598216,3247.23329413743,3216.11672104655,3072.27063405351,2929.69067881352
Akt1s1,349.378015001488,294.419821301881,283.252639151265,373.519046803742,330.754996118968,244.205290030354
Akt2,1128.56639378178,988.844503269077,1017.98807606573,927.911213692964,920.658236619808,860.900927512071
Akt3,921.620663073468,913.716686798942,1022.68287118979,720.281714896614,704.133058748112,758.891122815847
Aktip,506.053527723977,471.07171408301,513.297600229917,462.35022412383,412.591283818506,462.908128886652
Alad,122.324197098842,113.706965468313,92.3309707730644,112.376790585653,112.524895586865,74.9617504207099
Alas1,3316.99655009806,2944.19821301881,3827.04049195812,2076.29498796349,2033.97273386561,2241.12449711401
Alas2,5.86485876501298,0,3.12986341603608,0,0,0.772801550728968
Alb,0,0,0,0,0,0
Alcam,6512.5067400637,6795.0064274948,6811.36525914852,6089.75179459396,5939.95054885817,6268.19337796266
Aldh16a1,467.513027268178,425.385879743063,366.194019676221,452.717927787917,436.460201064205,326.895055958354
Aldh18a1,319.215884209992,371.578119298236,345.849907471987,278.266338593046,318.820537496119,250.387702436186
Aldh1a2,0,0,0.78246585400902,0,0,0
Aldh1a3,0.837836966430426,0,1.56493170801804,0,0,0.772801550728968
Aldh1a7,0,0,0,0,0,0
Aldh1b1,185.999806547555,177.667133544239,172.924953735993,142.343934741827,211.410409890474,142.19548533413
Aldh1l1,360.269895565083,358.379989377807,363.064156260185,406.696956405221,342.689454741817,350.079102480223
Aldh1l2,9.21620663073468,5.07620381554968,15.6493170801804,5.35127574217396,17.0492266040705,6.95521395656071
Aldh2,6084.37205021775,5647.78436518057,5562.54975615012,5599.57493661083,5397.78514284872,5074.21498208641
Aldh3a1,0,0,0,0,0,0
Aldh3a2,956.809815663546,983.768299453527,1062.58862974425,902.225090130529,944.527153865507,918.088242266014
Aldh3b1,1539.94434429912,1436.56567980056,1292.6335908229,1272.53337148897,1253.11815539918,1211.75283154302
Aldh3b2,0,0,0,0,0,0
Aldh4a1,187.675480480415,202.032911858877,208.918383020408,206.559243647915,242.099017777801,203.246807841719
Aldh5a1,9.21620663073468,6.09144457865961,9.38959024810824,13.9133169296523,6.81969064162821,11.5920232609345
Aldh6a1,249.675415996267,252.794950014374,251.171539136895,462.35022412383,427.93558776217,446.679296321344
Aldh7a1,315.02669937784,298.480784354321,323.158397705725,327.498075421046,294.95162025042,323.803849755438
Aldh8a1,0,0,0,1.07025514843479,0,0
Aldh9a1,1026.35028387727,979.707336401087,1066.50095901429,925.770703396094,891.674551392888,878.675363178837
Aldoa,17700.1437528092,17685.4940933751,16747.1166733551,16584.6737801455,16715.0617626307,14857.1098127644
Aldoart1,5.02702179858255,3.04572228932981,1.56493170801804,3.21076544530437,0,0.772801550728968
Aldoart2,0,0,0,0,1.70492266040705,0.772801550728968
Aldob,0,0,0,0,0,0
Aldoc,275.64836195561,291.374099012551,340.372646493924,261.142256218089,271.082703004721,262.752527247849
Alg1,395.459048155161,381.730526929336,374.801144070321,410.97797699896,429.640510422577,318.394238900335
Alg10b,599.891267964185,655.845532969018,656.488851513568,633.591047873396,690.493677464856,616.695637481717
