"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SPG20",8.20042907342612e-44,1.4223975065921,0.323,0.153,1.57710651940131e-39,"SPG20"
"DNPEP",1.16413944571194e-35,1.41799808351129,0.298,0.149,2.23887298199319e-31,"DNPEP"
"CALCOCO2",5.62502774999926e-67,1.41036811422084,0.452,0.218,1.08180533687986e-62,"CALCOCO2"
"JUN",1.68540921301756e-132,1.40881625177102,0.92,0.761,3.24137899847537e-128,"JUN"
"REXO2",5.52821852864445e-50,1.40470118040084,0.413,0.219,1.0631869874289e-45,"REXO2"
"NUPR1",6.31020449186717e-183,1.40209158599991,0.868,0.422,1.2135785278759e-178,"NUPR1"
"GPAA1",2.18628292716106e-33,1.39343462267138,0.303,0.158,4.20465932551616e-29,"GPAA1"
"PGRMC1",5.16799970491604e-57,1.37613126728496,0.399,0.189,9.93909703249453e-53,"PGRMC1"
"UFL1",5.17257389134432e-30,1.37510811954304,0.258,0.127,9.9478941078334e-26,"UFL1"
"CD302",7.45101780430338e-58,1.37233869317315,0.528,0.313,1.43297974412363e-53,"CD302"
"RRBP1",2.67129211644915e-48,1.37030954974464,0.463,0.269,5.137428998355e-44,"RRBP1"
"IER2",5.65795893261105e-86,1.36961693857685,0.824,0.683,1.08813866191976e-81,"IER2"
"FAM3C",9.19918819943025e-43,1.36100716504802,0.33,0.159,1.76918787451443e-38,"FAM3C"
"OAT",3.21045425772484e-51,1.35941151597422,0.365,0.171,6.17434562845642e-47,"OAT"
"DCXR",3.02376928445778e-86,1.35803226127501,0.588,0.3,5.81531308786919e-82,"DCXR"
"TXNRD1",1.23154951329605e-29,1.3537116661827,0.264,0.133,2.36851602397096e-25,"TXNRD1"
"CITED2",1.2920938380439e-97,1.34728256418333,0.702,0.403,2.48495486932602e-93,"CITED2"
"TACC1",3.22843124788366e-90,1.3437688973128,0.571,0.285,6.20891897592985e-86,"TACC1"
"HEBP1",5.15074243925574e-30,1.34137482394425,0.294,0.16,9.90590785917663e-26,"HEBP1"
"SDC2",4.20478678782763e-42,1.32618936953021,0.359,0.185,8.08664595035011e-38,"SDC2"
